Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Latitude,Longitude
1150,150.0,47,2,2,1,1,False,False,False,False,Artur Alvim,rent,-23.545341,-46.48342
3500,890.0,120,3,2,1,2,True,False,True,False,Vila Prudente,rent,-23.5873237,-46.5808037
800000,3300.0,280,5,2,3,3,True,False,False,False,Penha,sale,-23.524165,-46.546223
2000000,4370.0,140,3,2,1,2,False,False,True,False,Consolação,sale,-23.5484865,-46.661128
1500,520.0,50,2,1,0,0,True,False,True,False,Campo Grande,rent,-23.6608465,-46.6863968
137900,130.0,57,2,2,1,1,False,False,False,False,Cidade Tiradentes,sale,-23.601704,-46.402368
2800,1300.0,120,3,2,1,2,False,False,True,False,Mooca,rent,-23.563246,-46.595554
1200,275.0,44,1,1,0,0,True,False,False,False,Jabaquara,rent,-23.6557135,-46.6363298
5000,983.0,30,1,2,1,1,False,True,True,False,Pinheiros,rent,-23.567642,-46.69042
130000,445.0,42,2,2,1,1,False,False,False,False,Raposo Tavares,sale,-23.596311,-46.775537
7559420,1500.0,377,3,4,3,4,False,False,True,False,Alto de Pinheiros,sale,-23.5495056,-46.717449
520490,520.0,65,2,2,1,1,True,False,True,False,Liberdade,sale,-23.562103,-46.633523
200000,380.0,43,2,2,1,1,False,False,False,False,Aricanduva,sale,-23.536762,-46.544088
890,444.0,67,2,1,0,0,False,False,False,False,Vila Maria,rent,-23.5166536,-46.5898803
6500,2200.0,293,4,2,1,3,False,False,True,False,Mooca,rent,-23.561178,-46.583734
1300,450.0,90,2,2,1,1,False,False,True,False,Jaçanã,rent,-23.4659698,-46.5865592
2800,556.0,47,1,2,1,1,False,False,False,False,Vila Madalena,rent,-23.547695,-46.690795
240000,300.0,43,2,2,1,1,True,False,True,False,Jardim Helena,sale,-23.537306,-46.427671
14000,1400.0,165,2,3,2,2,True,True,True,False,Moema,rent,-23.6074418,-46.664583
4000,1079.0,115,4,5,2,4,False,False,True,False,Saúde,rent,-23.612428,-46.635146
1700,450.0,50,1,2,1,1,True,False,True,False,Belém,rent,-23.546089,-46.590325
6100,1565.0,126,2,2,1,1,False,False,False,False,Consolação,rent,-23.5635157,-46.6694958
266000,423.0,63,2,2,1,1,False,False,False,False,Brasilândia,sale,-23.471708,-46.687679
385000,695.0,60,2,2,1,2,False,False,True,False,Vila Guilherme,sale,-23.512615,-46.604294
215000,433.0,40,1,2,1,1,False,False,False,False,Mandaqui,sale,-23.4733926,-46.6475066
2250,495.0,47,2,2,1,1,True,True,True,False,Bom Retiro,rent,-23.527234,-46.632163
1270,680.0,65,2,2,1,1,False,False,True,False,Butantã,rent,-23.5543685,-46.7486049
220000,440.0,55,3,2,1,1,True,False,False,False,Raposo Tavares,sale,-23.588091,-46.797839
10500,1880.0,200,3,2,1,2,False,False,False,False,Moema,rent,-23.6007957458,-46.6694335938
195000,150.0,48,2,2,1,1,False,False,False,False,Artur Alvim,sale,-23.546395,-46.481122
2000,683.0,80,3,2,1,2,True,False,True,False,Tatuapé,rent,-23.534374,-46.578869
14000,2000.0,208,3,4,3,3,False,True,False,False,Alto de Pinheiros,rent,-23.5519402,-46.7208056
1800,160.0,50,2,2,1,1,False,False,False,False,Pirituba,rent,-23.490739,-46.724679
